3.003338 3.029380 
3.664392 2.943354 
2.899673 2.851465 
2.989228 3.124058 
2.700437 2.093341 
3.258888 2.891811 
3.316430 0.960597 
3.023144 3.310803 
3.291571 2.749852 
2.876339 3.437355 
0.278297 2.998983 
2.974077 3.091859 
2.610637 3.074093 
1.155435 3.568159 
3.192907 0.298338 
3.299643 3.145367 
2.820830 2.151783 
3.044596 0.183490 
2.915500 3.147624 
3.068015 0.674514 
3.437137 2.948399 
2.897221 3.269259 
2.925637 1.353369 
3.160386 0.966501 
3.076131 3.365715 
3.348451 3.210082 
2.921283 3.060150 
2.747686 3.363276 
3.265682 3.260434 
2.812634 2.518509 
2.682688 1.313637 
3.542373 1.009347 
2.904957 0.948913 
2.798866 3.201270 
3.347101 3.032927 
3.318815 2.371719 
2.450812 3.392716 
3.083618 1.234414 
1.467069 2.786081 
3.248166 2.953771 
2.289902 3.092065 
3.181108 0.006708 
2.557357 0.797229 
1.401967 3.382549 
2.895640 1.263203 
2.729354 2.706080 
2.696635 3.423416 
2.989493 1.464058 
2.442974 3.221401 
2.776060 3.095303 
2.662249 0.469407 
-1.363532 3.343769 
3.406376 3.163791 
3.046356 0.537447 
3.570981 3.288014 
2.661404 0.499752 
3.363342 0.564733 
2.877086 2.352930 
3.296222 2.543641 
3.679082 3.296360 
3.206347 2.646662 
3.592044 3.397897 
3.223189 3.208740 
2.237976 2.846306 
3.377084 1.418660 
2.875919 1.587603 
2.755021 2.969496 
2.992135 3.357689 
2.565149 2.802048 
3.067588 0.261235 
2.636816 3.069465 
2.811673 3.059918 
3.394655 2.914985 
2.964111 2.642704 
3.277723 3.095849 
2.941237 1.029915 
2.662403 3.510732 
3.043213 2.671664 
2.980883 2.733567 
3.091287 3.029344 
3.242155 3.416347 
2.970681 3.006623 
2.930135 3.212659 
3.213131 1.095208 
1.574896 2.291950 
3.514620 2.579028 
3.232935 2.825263 
2.856816 1.734249 
2.885913 1.155971 
3.091258 1.190585 
3.188727 3.217095 
